Code	Description	F3	F4
A	Agriculture, forestry and fishing	A	NULL
01	Crop and animal production, hunting and related service activities	A	NULL
011	Growing of non-perennial crops	A	NULL
0111	Growing of cereals (except rice), leguminous crops and oil seeds	A	NULL
0112	Growing of rice	A	NULL
0113	Growing of vegetables and melons, roots and tubers	A	NULL
0114	Growing of sugar cane	A	NULL
0115	Growing of tobacco	A	NULL
0116	Growing of fibre crops	A	NULL
0119	Growing of other non-perennial crops	A	NULL
012	Growing of perennial crops	A	NULL
0121	Growing of grapes	A	NULL
0122	Growing of tropical and subtropical fruits	A	NULL
0123	Growing of citrus fruits	A	NULL
0124	Growing of pome fruits and stone fruits	A	NULL
0125	Growing of other tree and bush fruits and nuts	A	NULL
0126	Growing of oleaginous fruits	A	NULL
0127	Growing of beverage crops	A	NULL
0128	Growing of spices, aromatic, drug and pharmaceutical crops	A	NULL
0129	Growing of other perennial crops	A	NULL
013	Plant propagation	A	NULL
0130	Plant propagation	A	NULL
014	Animal production	A	NULL
0141	Raising of cattle and buffaloes	A	NULL
0142	Raising of horses and other equines	A	NULL
0143	Raising of camels and camelids	A	NULL
0144	Raising of sheep and goats	A	NULL
0145	Raising of swine/pigs	A	NULL
0146	Raising of poultry	A	NULL
0149	Raising of other animals	A	NULL
015	Mixed farming	A	NULL
0150	Mixed farming	A	NULL
016	Support activities to agriculture and post-harvest crop activities	A	NULL
0161	Support activities for crop production	A	NULL
0162	Support activities for animal production	A	NULL
0163	Post-harvest crop activities	A	NULL
0164	Seed processing for propagation	A	NULL
017	Hunting, trapping and related service activities	A	NULL
0170	Hunting, trapping and related service activities	A	NULL
02	Forestry and logging	A	NULL
021	Silviculture and other forestry activities	A	NULL
0210	Silviculture and other forestry activities	A	NULL
022	Logging	A	NULL
0220	Logging	A	NULL
023	Gathering of non-wood forest products	A	NULL
0230	Gathering of non-wood forest products	A	NULL
024	Support services to forestry	A	NULL
0240	Support services to forestry	A	NULL
03	Fishing and aquaculture	A	NULL
031	Fishing	A	NULL
0311	Marine fishing	A	NULL
0312	Freshwater fishing	A	NULL
032	Aquaculture	A	NULL
0321	Marine aquaculture	A	NULL
0322	Freshwater aquaculture	A	NULL
B	Mining and quarrying	B	NULL
05	Mining of coal and lignite	B	NULL
051	Mining of hard coal	B	NULL
0510	Mining of hard coal	B	NULL
052	Mining of lignite	B	NULL
0520	Mining of lignite	B	NULL
06	Extraction of crude petroleum and natural gas	B	NULL
061	Extraction of crude petroleum	B	NULL
0610	Extraction of crude petroleum	B	NULL
062	Extraction of natural gas	B	NULL
0620	Extraction of natural gas	B	NULL
07	Mining of metal ores	B	NULL
071	Mining of iron ores	B	NULL
0710	Mining of iron ores	B	NULL
072	Mining of non-ferrous metal ores	B	NULL
0721	Mining of uranium and thorium ores	B	NULL
0729	Mining of other non-ferrous metal ores	B	NULL
08	Other mining and quarrying	B	NULL
081	Quarrying of stone, sand and clay	B	NULL
0810	Quarrying of stone, sand and clay	B	NULL
089	Mining and quarrying n.e.c.	B	NULL
0891	Mining of chemical and fertilizer minerals	B	NULL
0892	Extraction of peat	B	NULL
0893	Extraction of salt	B	NULL
0899	Other mining and quarrying n.e.c.	B	NULL
09	Mining support service activities	B	NULL
091	Support activities for petroleum and natural gas extraction	B	NULL
0910	Support activities for petroleum and natural gas extraction	B	NULL
099	Support activities for other mining and quarrying	B	NULL
0990	Support activities for other mining and quarrying	B	NULL
C	Manufacturing	C	NULL
10	Manufacture of food products	C	NULL
101	Processing and preserving of meat	C	NULL
1010	Processing and preserving of meat	C	NULL
102	Processing and preserving of fish, crustaceans and molluscs	C	NULL
1020	Processing and preserving of fish, crustaceans and molluscs	C	NULL
103	Processing and preserving of fruit and vegetables	C	NULL
1030	Processing and preserving of fruit and vegetables	C	NULL
104	Manufacture of vegetable and animal oils and fats	C	NULL
1040	Manufacture of vegetable and animal oils and fats	C	NULL
105	Manufacture of dairy products	C	NULL
1050	Manufacture of dairy products	C	NULL
106	Manufacture of grain mill products, starches and starch products	C	NULL
1061	Manufacture of grain mill products	C	NULL
1062	Manufacture of starches and starch products	C	NULL
107	Manufacture of other food products	C	NULL
1071	Manufacture of bakery products	C	NULL
1072	Manufacture of sugar	C	NULL
1073	Manufacture of cocoa, chocolate and sugar confectionery	C	NULL
1074	Manufacture of macaroni, noodles, couscous and similar farinaceous products	C	NULL
1075	Manufacture of prepared meals and dishes	C	NULL
1079	Manufacture of other food products n.e.c.	C	NULL
108	Manufacture of prepared animal feeds	C	NULL
1080	Manufacture of prepared animal feeds	C	NULL
11	Manufacture of beverages	C	NULL
110	Manufacture of beverages	C	NULL
1101	Distilling, rectifying and blending of spirits	C	NULL
1102	Manufacture of wines	C	NULL
1103	Manufacture of malt liquors and malt	C	NULL
1104	Manufacture of soft drinks; production of mineral waters and other bottled waters	C	NULL
12	Manufacture of tobacco products	C	NULL
120	Manufacture of tobacco products	C	NULL
1200	Manufacture of tobacco products	C	NULL
13	Manufacture of textiles	C	NULL
131	Spinning, weaving and finishing of textiles	C	NULL
1311	Preparation and spinning of textile fibres	C	NULL
1312	Weaving of textiles	C	NULL
1313	Finishing of textiles	C	NULL
139	Manufacture of other textiles	C	NULL
1391	Manufacture of knitted and crocheted fabrics	C	NULL
1392	Manufacture of made-up textile articles, except apparel	C	NULL
1393	Manufacture of carpets and rugs	C	NULL
1394	Manufacture of cordage, rope, twine and netting	C	NULL
1399	Manufacture of other textiles n.e.c.	C	NULL
14	Manufacture of wearing apparel	C	NULL
